tweet_id,fecha_reply,reply_id,texto,likes,retweets,replies,gender,usuario,;;
"1903490612059308457,22/03/2025 12:29:00,73,""Oiga IMBECIL, ese medicamento NO es insulina, es para el hipotiroidismo.";;
;;
¡Payaso!;;
",2000,332,22,male,@santiuribedel10,
1903490612059308457,22/03/2025 11:58:00,74,Ahí hay 113 mil dosis en esa foto ?";;
;;
Como siempre mintiendo ;;
;;
"La culpa de la entrega de Medicamentos es suya, así no lo explica Daniel Briceño https://x.com/i/status/1903491566070567269 "",1200,515,38,male,@Rincon001A,";;
1903490612059308457,22/03/2025 13:50:00,75,Presidente en serio ud ve que esa caja dice Insulina? porque yo veo que dice Eutirox (Levotixina).,1700,212,127,male,@endocrinorosero,;;
"1903490612059308457,22/03/2025 13:46:00,76,""Presidente, Ud. es un mitómano, una vergüenza, una persona dedicada a destruir, a causar sufrimiento humano.";;
;;
"Lea por favor."",1100,298,38,male,@agaviriau,";;
1903490612059308457,22/03/2025 12:18:00,77,Y si mejor les paga los 4 billones de pesos ? https://pbs.twimg.com/media/GmqT4RlaYAAvocU?format=jpg&name=900x900,810,176,17,male,@ojocolombia2026,;;
"1903490612059308457,22/03/2025 16:12:00,78,""¡Qué hijueputa cinismo el de Petro!";;
;;
Publica una caja de levotiroxina y dice que son “113.000 dosis de insulina incautadas”. ¡Mentiroso de mierda! No solo miente con la foto, sino que quiere culpar a otros por el caos que él mismo provocó.;;
;;
Recortó la UPC intencionalmente para reventar el sistema de salud desde adentro: sin plata para las EPS, sin plata para los gestores farmacéuticos, sin plata para los hospitales. ¿Y ahora se hace el salvador? ¡Hijueputa! El que incendió la casa no puede posar de bombero.;;
;;
No es acaparamiento, es desfinanciamiento. No es sabotaje de las EPS, es asesinato presupuestal desde la Casa de Nariño. Petro está dejando sin medicina a la gente para culpar a quienes él mismo dejó sin recursos.;;
;;
"Una mentira más, de un mitómano profesional que necesita enemigos para esconder su desastre. ¡Sigan creyendo ese cuento, a este hijueputa mentiroso!"",892,212,16,female,@Adrianaveterin2,";;
"1903490612059308457,22/03/2025 20:07:00,79,""Si fueron halladas 130000 unidades de insulina, está es la foto del medicamento encontrado en la bodega de ";;
@Audifarma_SA;;
"https://pbs.twimg.com/media/Gmr_cZBaoAA7ROW?format=jpg&name=medium"",53,297,19,male,@AntonioCR1974,";;
"1903490612059308457,22/03/2025 15:49:00,80,""O sea que desde 2006 después de una tiroidectomía, ¿he estado medicada con insulina creyendo que es Levotiroxina? ";;
"¿Cómo pudieron trepar a este psicópata a la presidencia?"",558,174,12,female,@K__Ibarguen,";;
"1918287625288597916,02/05/2025 8:34:00,81,""Presidente ";;
@petrogustavo;;
" muestre el de ayer 1 de mayo, no el del 23"",4800,705,845,male,@cesaralo,";;
"1918287625288597916,02/05/2025 8:13:00,82,""""""Relog"""" https://pbs.twimg.com/media/Gp8lNBlWAAAuOFh?format=jpg&name=small"",1900,64,11,male,@Sebas26_,";;
"1918287625288597916,02/05/2025 9:44:00,83,""Pero cuando estaba la banda de los Rolex, ahí si estaba bien y todos cayaditos... Ahora buscan lo mínimo, ya no saben ni de qué agarrarse";;
"🤡🤡🤡 https://pbs.twimg.com/media/Gp855g7XoAALvwX?format=jpg&name=900x900"",908,349,34,male,@AlDaBeRo999,";;
"1918287625288597916,02/05/2025 8:07:00,84,""Presidente. Implantarse pelo, estirarse la cara y usar zapatos Ferragamo de $US1000 dólares está muy lejos de ser una “estridencia codiciosa”, verdad?";;
;;
"Qué dirían algunos de sus esbirros fanáticos que ganan menos de un salario mínimo al mes, de esos lujitos?"",1100,162,17,male,@ccuervodiaz,";;
"1918287625288597916,02/05/2025 8:01:00,85,""¿Relog?";;
;;
Por lo menos escriba bien Presidente ;;
@petrogustavo;;
"."",1000,110,113,male,@papoaminCD,";;
"1918287625288597916,02/05/2025 9:57:00,86,""🤣🤣🤣";;
Oiga m4lp4rd0, corrija la fecha del calendario del relog 🤣🤣🤣🤣;;
"Ayer fue 01 y no 23 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣"",982,213,56,male,@elcuchoantic,";;
"1918287625288597916,02/05/2025 10:49:00,87,""Presidente es que usted por ser de izquierda tiene que calcular la hora  es con la posición del sol, un reloj es un lujo que solo se puede dar la derecha."",949,123,13,female,@nometiente2,";;
1918287625288597916,02/05/2025 8:09:00,88,No me sorprende su ignorancia. El caos del país es su reflejo.,793,92,16,female,@ANIABELLO_R,;;
"1918287625288597916,02/05/2025 2:34:00,89,""Tampoco le gustan las reglas ortográficas. ";;
El instrumento que sirve para medir el tiempo se llama Reloj. ;;
"Este escribe cajón con G."",477,84,25,male,@JoseAGraterol,";;
